"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"uc001wnu.2","GMPR2",1.35258416260925,5.220655630719,3.4540917496674,0.00166722789581698,0.0059451537370218,-1.44450337908673
"uc001wvr.3","KLHL28",1.84570271097594,3.71348522642092,3.34882542071206,0.00219938038209765,0.00727852500550303,-1.45404808180359
"uc001ypp.3","ZBTB42",-0.452694874911387,10.623079149184,-3.8198282943724,0.000624653272237867,0.00273657624028018,-1.46302156743291
"uc001xhp.2","PLEKHG3",-2.17208222757616,5.72856811860714,-3.35222000880322,0.00217991598974391,0.0072663866324797,-1.49507575287686
"uc001xse.3","IFT43",0.998152419475791,6.69531996411738,3.51489669437044,0.00141896462161968,0.00530669695890286,-1.50976888268487
"uc001xbx.2","ATG14",-1.20511563615445,6.67706076663143,-3.40027404104907,0.00192154915003035,0.00673512675255502,-1.63941395310044
"uc010tpz.3","FOXA1",1.66323587048905,4.1250829450744,3.27466624865675,0.00266876327043862,0.00846642140966734,-1.68006955692667
"uc001wxu.3","L2HGDH",0.492907946834734,9.93544310212612,3.70461413699414,0.000853526147492722,0.00353713538600588,-1.68891019217368
"uc010tyk.2","AKT1",-1.78075306374587,5.10180559397653,-3.22847258754404,0.00300822987096924,0.00936607360094722,-1.74018534334007
"uc001xex.4","PPM1A",0.846543270922833,7.20040280068271,3.46024797438102,0.00164029746014791,0.00589481899740655,-1.74351079780225
"uc001yqw.3","TEX22",-1.10288788108684,6.6964778292835,-3.30062796010617,0.0024944369666362,0.00802406296959896,-1.86485928961187
"uc001vxa.1","RPPH1",0.793671032432637,7.22890080555984,3.39807707816999,0.00193268854638535,0.00673512675255502,-1.93514194049938
"uc001ypj.3","AKT1",-0.930014644732836,7.77069773576306,-3.3705346277701,0.00207772790960164,0.00702760910600555,-1.97824213352309
"uc001wug.3","C14orf25",-1.42974663335223,5.70463000367123,-3.13663225637368,0.00380986512179408,0.0112703889166844,-2.04862203115315
"uc001xkr.4","DCAF5",1.27943006373228,5.0759992342931,3.15788216785577,0.00360799705086182,0.0109568699757116,-2.06089652107172
"uc010aik.1","ZNF219",-1.91787399157497,3.45468656043449,-3.06825470135366,0.00453506621556464,0.0129573320444704,-2.06250081671493
"uc001wmf.2","FITM1",1.05672466165868,6.28488883815652,3.23346891172829,0.00296960767388541,0.00935629815059786,-2.09421319516759
"uc001xjs.3","ARG2",-0.404690024883589,10.9897927187913,-3.57963644526613,0.00119402771441743,0.00465468431044082,-2.1370482364935
"uc010axi.1","BRF1",-1.46606478409085,5.71681956691051,-3.07394255225963,0.00447005492993707,0.0129147413178295,-2.16492169917231
"uc001ykw.1","HSP90AA1",1.26244533838488,5.92701253720572,3.14564809529051,0.00372293471059095,0.0111204543303366,-2.16648139153094
"uc001yef.2","CLMN",0.683301031072086,7.9118977380341,3.3345698987947,0.00228296165051789,0.0075011597088445,-2.21253998727382
"uc001xqx.1","RPS6KL1",1.6117779432208,5.34332867094808,3.07200646632604,0.00449208393663633,0.0129147413178295,-2.28139569568642
"uc021rvk.1","LOC100289511",-1.63277450198138,5.0759992342931,-2.99762611412574,0.00542096314534785,0.0152051405296342,-2.28425339427833
"uc021rwj.1","Y_RNA",-1.72175106370739,3.56068617375386,-2.94669184831628,0.00615913045609591,0.0164759829662381,-2.32711829819568
"uc001xst.2","VASH1",1.57938266680349,3.94304788488556,2.96375470272193,0.00590185128525262,0.0160642105989125,-2.34279653064436
"uc001wrq.3","AKAP6",-0.604316076128397,8.31346921920257,-3.30478388421681,0.00246756650651995,0.0079935253028111,-2.35464960469586
"uc010tqf.2","FKBP3",0.425236928612598,10.5806686035632,3.51521440869929,0.00141776649010413,0.00530669695890286,-2.35658436368894
"uc001xzp.1","SMEK1",1.48690777313719,4.41532395693532,2.96385392515688,0.00590038535404192,0.0160642105989125,-2.40394904288454
"uc001xat.1","CNIH",0.774791904596133,7.15109978108889,3.19629775871202,0.00326870903668692,0.0100240410458399,-2.45904366416835
"uc001xln.1","SRSF5",0.434781104261145,9.95922442386889,3.38725535652539,0.00198847310656733,0.00687742578211256,-2.52383262575272
"uc001xzw.3","FBLN5",-1.82798717600889,4.40471284473701,-2.85803724925586,0.00767538795373886,0.0197244606632395,-2.54137010256382
"uc010amn.1","PPP2R3C",1.36984938163998,4.71031095007112,2.90170048767524,0.00688929689684892,0.0180061168894915,-2.59605256151227
"uc001xei.4","JKAMP",1.12433786289485,5.79538937878157,2.97958590119989,0.00567226717204748,0.0157183307177219,-2.60454367342966
"uc010amk.3","ARHGAP5-AS1",-0.734777351752173,7.93130510547096,-3.13537586120422,0.00382213189348426,0.0112703889166844,-2.62348083833837
"uc010alp.3","LTB4R",0.496491490269698,9.48638129661707,3.28663077326894,0.00258701919756692,0.00826408910333879,-2.62534512858092
"uc001wjj.3","PABPN1",0.529851526040797,8.83404761981942,3.20886291941684,0.00316451469807676,0.00976964269204905,-2.71813166053639
"uc021rvf.1","ZFP36L1",-1.3906116158408,5.21344119348697,-2.80733979700273,0.00869385496869326,0.0220948800309331,-2.76036491187143
"uc001waq.2","SUPT16H",-0.791179951579032,8.07519928042997,-3.06376827674692,0.00458697872799926,0.0130247544128374,-2.76518355239644
"uc001ybr.3","BTBD7",-1.57823472083045,5.00470976869851,-2.77391701213485,0.00943325408598315,0.0237155538396193,-2.77384297599435
"uc001wwx.3","KLHDC2",-0.284830985345817,12.491089790306,-3.44837312487641,0.00169262624734028,0.00598929287520408,-2.78260448451889
"uc001won.3","CIDEB",-1.09202810154011,6.66008115243898,-2.91096921152647,0.00673249730433228,0.017696850057102,-2.78484980156799
"uc001xhk.4","HSPA2",-1.62745793943733,3.91724152520213,-2.73872753299865,0.0102751242453131,0.0250218370904636,-2.79048928720235
"uc001xbq.1","MAPK1IP1L",-0.222609907235423,13.7076782595885,-3.52718837572306,0.00137331849010628,0.0052643875454074,-2.81836874268058
"uc001yoj.4","C14orf2",-0.954475285665717,6.46434573069814,-2.88665178914482,0.00715123415423864,0.0185851283104507,-2.82474131318668
"uc001xsc.2","TGFB3",0.45082203805091,9.75234489447107,3.22780427065072,0.00301343237595693,0.00936607360094722,-2.84863699553376
"uc001xnn.4","RBM25",0.760798266747327,7.0222944625805,2.9950389115139,0.00545634385081496,0.0152116252810599,-2.86898090280924
"uc001xrp.3","LOC731223",-1.56400125305965,4.15155016494165,-2.70233899390171,0.0112191650703509,0.0270199787034629,-2.89946941179635
"uc031qov.1","BX648502",-1.61203662230295,4.37979648996977,-2.69246724658988,0.0114888847494582,0.027525453045577,-2.92231162838663
"uc031qox.1","WDR89",-1.59541239600889,4.28203980450792,-2.66770914954819,0.0121921422168727,0.0289092031946465,-2.93700013520494
"uc010tna.1","ABHD4",-1.69991101697299,3.63892795897605,-2.6371118832607,0.013116583729752,0.0307838189575812,-2.98205449591398
